date	plot	species	sex	weight	callibrated
2013-07-16	2	dm	F	NA	NA
2013-07-16	7	dm	M	33	Y
2013-07-16	3	dm	M	NA	NA
2013-07-16	1	dm	M	NA	NA
2013-07-18	3	dm	M	40	Y
2013-07-18	7	dm	M	48	Y
2013-07-18	4	dm	F	29	Y
2013-07-18	6	dm	F	37	Y
2013-08-19	8	do	F	52	Y
2013-10-17	3	do	F	33	Y
2013-10-17	3	do	F	50	Y
2013-12-10	9	do	F	40	Y
2013-12-10	1	do	M	45	Y
2013-12-11	8	do	F	41	Y
2013-11-12	9	ds	F	117	Y
2013-11-13	11	ds	F	126	Y
2013-11-13	17	ds	M	132	N
2013-11-13	14	ds	F	113	N
2013-11-13	11	ds	F	122	Y
2013-11-13	4	ds	F	107	Y
2013-11-13	4	ds	F	115	Y
2014-01-09	1	dm	M	40	Y
2014-01-09	1	dm	F	36	Y
2014-03-13	1	dm	F	51	Y
2014-03-13	1	dm	F	44	Y
2014-03-13	1	ds	F	146	Y
2014-01-08	2	NA	NA	NA	NA
2014-01-08	2	dm	M	44	Y
2014-01-08	2	pf	F	7	Y
2014-01-08	2	dm	M	45	Y
2014-01-08	2	ot	NA	NA	NA
2014-01-08	2	ds	M	157	N
2014-01-08	2	ox	NA	NA	NA
2014-02-18	2	NA	M	218	N
2014-02-18	2	pf	F	7	Y
2014-02-18	2	dm	M	52	Y
2014-03-11	3	pf	M	8	Y
2014-04-08	3	NA	F	NA	NA
2014-05-06	3	NA	NA	NA	NA
2014-05-18	3	NA	F	182	Y
2014-06-09	3	ot	F	29	Y
2014-07-08	3	NA	F	115	Y
2014-07-08	3	NA	M	190	Y
1978-01-08	4	dm	F	37	Y
1978-01-08	4	dm	M	NA	NA
1978-01-08	4	dm	F	48	Y
1978-01-08	4	do	M	52	Y
1978-01-08	4	ol	M	35	Y
